User_ID,Customer_Name,Gender,Age,Age_Group,Generation,Marital_Status,Occupation,State,Zone,Product_ID,Product_Category,Orders,Amount,Avg_Order_Value,Customer_Segment
1000113,Ellis,Female,19,18-25,Youth,Married,Govt,Andhra Pradesh,Southern,P00180642,Auto,4,23546,5886,High Value
1000416,Hrisheekesh,Female,46,46-50,Senior,Married,Banking,Uttar Pradesh,Central,P00181842,Auto,2,23525,11762,High Value
1005256,Grant,Female,30,26-35,Adult,Single,IT Sector,Andhra Pradesh,Southern,P00101742,Auto,1,23518,23518,High Value
1001505,Gilcrest,Female,53,51-55,Senior,Single,Automobile,Uttar Pradesh,Central,P00271842,Auto,2,23515,11758,High Value
1000900,Skaria,Male,83,55+,Elder,Single,Automobile,Karnataka,Southern,P00317842,Auto,3,23513,7838,High Value
1005908,Eric,Female,33,26-35,Adult,Single,IT Sector,Andhra Pradesh,Southern,P00282642,Auto,3,23462,7821,High Value
1001101,Gibson,Female,40,36-45,Mid Age,Single,Banking,Uttar Pradesh,Central,P00234742,Auto,3,23456,7819,High Value
1004736,Mahima,Female,25,18-25,Youth,Married,Banking,Andhra Pradesh,Southern,P00058042,Auto,4,23451,5863,High Value
1004037,Etezadi,Male,54,51-55,Senior,Married,Govt,Andhra Pradesh,Southern,P00190542,Hand & Power Tools,2,23434,11717,High Value
1002340,James,Female,39,36-45,Mid Age,Married,Aviation,Andhra Pradesh,Southern,P00119642,Auto,3,23389,7796,High Value
1005664,Dean,Female,20,18-25,Youth,Single,Aviation,Andhra Pradesh,Southern,P00111642,Auto,2,23365,11682,High Value
1002523,Aman,Female,32,26-35,Adult,Married,Food Processing,Andhra Pradesh,Southern,P00293342,Auto,3,23326,7775,High Value
1002503,Mousam,Female,36,36-45,Mid Age,Single,Automobile,Andhra Pradesh,Southern,P00220042,Auto,2,23314,11657,High Value
1002638,Damala,Female,35,26-35,Adult,Married,Media,Maharashtra,Western,P00346242,Auto,2,23306,11653,High Value
1004505,Daniels,Female,55,51-55,Senior,Married,Healthcare,Andhra Pradesh,Southern,P00080042,Auto,4,23302,5826,High Value
1004957,Inderpreet,Male,27,26-35,Adult,Married,Govt,Jharkhand,Eastern,P00111842,Auto,1,23285,23285,High Value
1005649,Sweta,Male,20,18-25,Youth,Married,Media,Delhi,Central,P00238542,Auto,1,23281,23281,High Value
1004508,Phonely,Female,32,26-35,Adult,Single,Aviation,Andhra Pradesh,Southern,P00048742,Auto,1,23270,23270,High Value
1002520,Mike,Male,72,55+,Elder,Married,Media,Himachal Pradesh,Northern,P00310342,Auto,4,23267,5817,High Value
1003111,Dean,Female,25,18-25,Youth,Married,Banking,Andhra Pradesh,Southern,P00249542,Auto,4,23252,5813,High Value
1000687,Neola,Male,35,26-35,Adult,Single,Aviation,Kerala,Southern,P00156442,Auto,1,23247,23247,High Value
1003267,Trupti,Male,30,26-35,Adult,Married,Banking,Uttar Pradesh,Central,P00144242,Hand & Power Tools,2,23246,11623,High Value
1001182,Zypern,Male,16,0-17,Teen,Single,Food Processing,Andhra Pradesh,Southern,P00122442,Auto,4,23239,5810,High Value
1005383,Ellison,Female,40,36-45,Mid Age,Single,Aviation,Andhra Pradesh,Southern,P0096942,Auto,2,23201,11600,High Value
1004303,Jane,Female,35,26-35,Adult,Married,Aviation,Andhra Pradesh,Southern,P00201442,Auto,2,23185,11592,High Value
1005493,Stewart,Male,45,36-45,Mid Age,Married,Agriculture,Andhra Pradesh,Southern,P00036242,Hand & Power Tools,3,23160,7720,High Value
1000728,Breyer,Female,28,26-35,Adult,Single,Banking,Andhra Pradesh,Southern,P00113942,Auto,1,23154,23154,High Value
1002966,Jesslyn,Male,32,26-35,Adult,Married,Construction,Delhi,Central,P00121642,Auto,3,23103,7701,High Value
1001726,Abhijit,Female,32,26-35,Adult,Single,Retail,Andhra Pradesh,Southern,P00105042,Auto,4,23066,5766,High Value
1001404,Vineet,Female,53,51-55,Senior,Single,IT Sector,Andhra Pradesh,Southern,P00141842,Auto,2,23053,11526,High Value
1005267,Elizabeth,Female,43,36-45,Mid Age,Married,IT Sector,Andhra Pradesh,Southern,P00115342,Auto,3,23047,7682,High Value
1003745,Shivani,Male,29,26-35,Adult,Single,IT Sector,Haryana,Northern,P00220042,Stationery,2,21563,10782,High Value
1001884,Eugene,Female,47,46-50,Senior,Single,Textile,Delhi,Central,P00339042,Stationery,1,21547,21547,High Value
1001804,Ishit,Female,35,26-35,Adult,Single,Lawyer,Delhi,Central,P00000642,Stationery,1,21533,21533,High Value
1005359,Schwarz,Female,22,18-25,Youth,Married,Media,Delhi,Central,P00302742,Stationery,1,21503,21503,High Value
1000151,Sujay,Male,34,26-35,Adult,Married,IT Sector,Karnataka,Southern,P00150342,Stationery,2,21495,10748,High Value
1001389,Smriti,Female,33,26-35,Adult,Married,Agriculture,Delhi,Central,P00261542,Stationery,3,21463,7154,High Value
1002665,Champaklata,Female,36,36-45,Mid Age,Single,IT Sector,Delhi,Central,P00261842,Stationery,4,21427,5357,High Value
1002496,Patil,Female,52,51-55,Senior,Single,IT Sector,Delhi,Central,P00114042,Stationery,4,21423,5356,High Value
1001442,Atharv,Male,18,18-25,Youth,Married,Construction,Delhi,Central,P00145042,Stationery,2,21401,10700,High Value
1000379,Thais,Male,39,36-45,Mid Age,Single,Healthcare,Maharashtra,Western,P00121642,Stationery,3,21397,7132,High Value
1003916,Surabhi,Male,34,26-35,Adult,Married,Agriculture,Delhi,Central,P00003242,Stationery,4,21388,5347,High Value
1001687,Bruce,Female,33,26-35,Adult,Single,Govt,Maharashtra,Western,P00265242,Stationery,4,21325,5331,High Value
1000423,Saurabh,Male,21,18-25,Youth,Single,Automobile,Delhi,Central,P00046742,Stationery,2,21320,10660,High Value
1002395,Vaibhavi,Female,38,36-45,Mid Age,Married,Aviation,Delhi,Central,P00220342,Stationery,2,21317,10658,High Value
1004728,Larry,Female,28,26-35,Adult,Single,IT Sector,Delhi,Central,P00037042,Stationery,4,21293,5323,High Value
1005054,Parhena,Female,37,36-45,Mid Age,Single,Hospitality,Delhi,Central,P0096542,Stationery,1,21266,21266,High Value
1004489,Pete,Male,20,18-25,Youth,Single,Construction,Delhi,Central,P00216742,Stationery,1,21259,21259,High Value
1001865,Cyra,Male,23,18-25,Youth,Married,Media,Kerala,Southern,P00213742,Stationery,2,21246,10623,High Value
1003022,Rozendal,Female,34,26-35,Adult,Single,Banking,Delhi,Central,P00130742,Stationery,4,21218,5304,High Value
1001657,Jack,Male,49,46-50,Senior,Single,Govt,Andhra Pradesh,Southern,P00248442,Stationery,2,21178,10589,High Value
1003751,Victor,Male,38,36-45,Mid Age,Married,Media,Karnataka,Southern,P00129542,Stationery,1,21178,21178,High Value
1000179,Debra,Female,30,26-35,Adult,Single,Aviation,Delhi,Central,P00261642,Stationery,4,21152,5288,High Value
1000438,Bhosale,Female,25,18-25,Youth,Single,IT Sector,Madhya Pradesh,Central,P00182542,Tupperware,2,21079,10540,High Value
1003618,Keshav,Male,19,18-25,Youth,Married,Media,Maharashtra,Western,P00248942,Tupperware,1,21058,21058,High Value
1003415,Arsheen,Male,42,36-45,Mid Age,Single,Hospitality,Delhi,Central,P00152742,Stationery,1,21039,21039,High Value
1002485,Kaydos,Female,38,36-45,Mid Age,Married,Media,Gujarat,Western,P00302342,Tupperware,3,21013,7004,High Value
1001495,Fjeld,Female,21,18-25,Youth,Married,IT Sector,Delhi,Central,P00064042,Stationery,4,21009,5252,High Value
1004607,Turumella,Male,35,26-35,Adult,Single,Govt,Delhi,Central,P00173342,Stationery,4,20981,5245,High Value
1005316,Vernon,Female,24,18-25,Youth,Married,Govt,Kerala,Southern,P00278642,Tupperware,4,20967,5242,High Value
1000461,Connell,Male,52,51-55,Senior,Married,Healthcare,Himachal Pradesh,Northern,P00142942,Stationery,2,20965,10482,High Value
1000154,Shami,Female,53,51-55,Senior,Married,Textile,Karnataka,Southern,P00306042,Footwear & Shoes,4,20965,5241,High Value
1000749,Flanagan,Female,37,36-45,Mid Age,Married,Lawyer,Uttar Pradesh,Central,P00114342,Footwear & Shoes,2,20963,10482,High Value
1006040,Pond,Female,28,26-35,Adult,Married,IT Sector,Delhi,Central,P00271242,Footwear & Shoes,1,20960,20960,High Value
1001284,O'Brian,Male,50,46-50,Senior,Single,Banking,Karnataka,Southern,P00157142,Footwear & Shoes,3,20960,6987,High Value
1004269,Namrata,Female,40,36-45,Mid Age,Single,Lawyer,Delhi,Central,P00345242,Footwear & Shoes,1,20959,20959,High Value
1001496,Haushalter,Female,35,26-35,Adult,Married,Chemical,Madhya Pradesh,Central,P00067942,Footwear & Shoes,1,20955,20955,High Value
1003007,Maurice,Female,45,36-45,Mid Age,Single,Banking,Delhi,Central,P00191942,Stationery,4,20951,5238,High Value
1004715,Snel,Female,35,26-35,Adult,Single,Food Processing,Delhi,Central,P00217442,Footwear & Shoes,3,20950,6983,High Value
1000306,Patrick,Female,18,18-25,Youth,Single,Aviation,Maharashtra,Western,P00303242,Tupperware,3,20949,6983,High Value
1000855,Sung,Male,22,18-25,Youth,Single,Automobile,Delhi,Central,P00240042,Footwear & Shoes,3,20948,6983,High Value
1001183,Mahima,Female,43,36-45,Mid Age,Married,Aviation,Delhi,Central,P00084842,Footwear & Shoes,4,20945,5236,High Value
1005954,Charlotte,Female,48,46-50,Senior,Married,Automobile,Karnataka,Southern,P00156242,Footwear & Shoes,2,20944,10472,High Value
1005627,Anubhaw,Male,28,26-35,Adult,Single,IT Sector,Delhi,Central,P00123142,Stationery,1,20943,20943,High Value
1002165,Black,Female,31,26-35,Adult,Married,IT Sector,Delhi,Central,P00260442,Footwear & Shoes,1,20938,20938,High Value
1004416,Airdo,Female,23,18-25,Youth,Single,Construction,Uttar Pradesh,Central,P00213742,Footwear & Shoes,2,20933,10466,High Value
1000850,Bhawna,Female,44,36-45,Mid Age,Single,Lawyer,Uttar Pradesh,Central,P00319942,Footwear & Shoes,3,20932,6977,High Value
1002888,Corey-Lock,Female,34,26-35,Adult,Single,Automobile,Andhra Pradesh,Southern,P00255842,Tupperware,2,20930,10465,High Value
1001891,Akin,Female,46,46-50,Senior,Single,Chemical,Uttar Pradesh,Central,P00192542,Footwear & Shoes,1,20929,20929,High Value
1001019,Neil,Female,43,36-45,Mid Age,Married,Govt,Delhi,Central,P00259142,Footwear & Shoes,2,20928,10464,High Value
1002306,Lisha,Male,21,18-25,Youth,Married,Textile,Jharkhand,Eastern,P00084242,Footwear & Shoes,3,20925,6975,High Value
1001179,Amlan,Male,54,51-55,Senior,Single,IT Sector,Delhi,Central,P00208742,Footwear & Shoes,3,20920,6973,High Value
1004957,Inderpreet,Female,34,26-35,Adult,Married,Healthcare,Delhi,Central,P00163442,Footwear & Shoes,1,20914,20914,High Value
1004079,Fisher,Female,44,36-45,Mid Age,Married,Agriculture,Uttar Pradesh,Central,P00284742,Footwear & Shoes,2,20914,10457,High Value
1002124,Linda,Female,29,26-35,Adult,Single,Retail,Karnataka,Southern,P00369042,Footwear & Shoes,3,20912,6971,High Value
1004335,Aryan,Female,38,36-45,Mid Age,Single,Healthcare,Karnataka,Southern,P00075542,Footwear & Shoes,4,20912,5228,High Value
1000280,Kajal,Female,55,51-55,Senior,Single,Hospitality,Delhi,Central,P00216042,Footwear & Shoes,2,20908,10454,High Value
1003311,Neola,Female,26,26-35,Adult,Married,Hospitality,Karnataka,Southern,P00142742,Footwear & Shoes,1,20908,20908,High Value
1004161,Murray,Female,46,46-50,Senior,Single,Retail,Karnataka,Southern,P00345642,Footwear & Shoes,4,20906,5226,High Value
1004285,Bhishm,Male,38,36-45,Mid Age,Single,Food Processing,Uttar Pradesh,Central,P00315842,Footwear & Shoes,3,20900,6967,High Value
1000445,Sukruta,Female,47,46-50,Senior,Single,Retail,Delhi,Central,P00114042,Footwear & Shoes,1,20896,20896,High Value
1003265,Arti,Female,35,26-35,Adult,Single,Food Processing,Uttar Pradesh,Central,P00184942,Stationery,1,20883,20883,High Value
1003396,Akshay,Female,31,26-35,Adult,Married,Textile,Delhi,Central,P00178242,Footwear & Shoes,4,20875,5219,High Value
1002380,Swati,Female,26,26-35,Adult,Married,IT Sector,Delhi,Central,P00124642,Footwear & Shoes,2,20874,10437,High Value
1002059,Mathew,Female,41,36-45,Mid Age,Single,IT Sector,Karnataka,Southern,P00114142,Footwear & Shoes,1,20874,20874,High Value
1001335,Kushal,Female,42,36-45,Mid Age,Single,IT Sector,Delhi,Central,P00108942,Footwear & Shoes,1,20873,20873,High Value
1004838,Luxemburg,Female,49,46-50,Senior,Single,Lawyer,Delhi,Central,P00062842,Footwear & Shoes,3,20870,6957,High Value
1001015,Bharat,Female,44,36-45,Mid Age,Single,Chemical,Delhi,Central,P00289942,Stationery,2,20867,10434,High Value
1000549,Sharda,Female,31,26-35,Adult,Single,IT Sector,Karnataka,Southern,P00113542,Footwear & Shoes,2,20865,10432,High Value
1001954,Steele,Male,31,26-35,Adult,Married,IT Sector,Jharkhand,Eastern,P00294542,Footwear & Shoes,3,20863,6954,High Value
1001912,Hazel,Female,27,26-35,Adult,Single,Automobile,Bihar,Eastern,P00087442,Tupperware,3,20860,6953,High Value
1003918,Shariari,Female,32,26-35,Adult,Single,Retail,Karnataka,Southern,P00334242,Footwear & Shoes,3,20855,6952,High Value
1001896,Brittain,Male,66,55+,Elder,Single,Govt,Uttar Pradesh,Central,P00117142,Footwear & Shoes,2,20853,10426,High Value
1002445,Shiva,Female,28,26-35,Adult,Single,Aviation,Delhi,Central,P00184042,Stationery,4,20852,5213,High Value
1002279,Noah,Female,52,51-55,Senior,Single,Aviation,Karnataka,Southern,P00368342,Footwear & Shoes,4,20850,5212,High Value
1002898,Kotsonis,Female,19,18-25,Youth,Single,Healthcare,Madhya Pradesh,Central,P00309242,Footwear & Shoes,4,20847,5212,High Value
1004277,Sanjay,Female,45,36-45,Mid Age,Married,Construction,Delhi,Central,P00315442,Footwear & Shoes,2,20840,10420,High Value
1003576,Alejandro,Male,53,51-55,Senior,Married,Aviation,Maharashtra,Western,P00101342,Footwear & Shoes,4,20837,5209,High Value
1003724,Devendra,Female,36,36-45,Mid Age,Single,Aviation,Delhi,Central,P00232442,Footwear & Shoes,2,20833,10416,High Value
1003384,Sujay,Female,41,36-45,Mid Age,Married,Banking,Delhi,Central,P00033742,Footwear & Shoes,4,20819,5205,High Value
1003051,Moren,Female,22,18-25,Youth,Single,Govt,Uttar Pradesh,Central,P00288342,Tupperware,1,20816,20816,High Value
1003311,Neola,Female,30,26-35,Adult,Married,Hospitality,Karnataka,Southern,P00228142,Footwear & Shoes,3,20815,6938,High Value
1004782,Philippe,Male,46,46-50,Senior,Married,Hospitality,Karnataka,Southern,P00114942,Footwear & Shoes,1,20815,20815,High Value
1003998,Patterson,Female,47,46-50,Senior,Single,IT Sector,Delhi,Central,P00232242,Footwear & Shoes,4,20812,5203,High Value
1000284,George,Female,29,26-35,Adult,Single,Healthcare,Karnataka,Southern,P00034742,Footwear & Shoes,2,20807,10404,High Value
1000509,Rohan,Female,28,26-35,Adult,Single,Banking,Delhi,Central,P00278042,Footwear & Shoes,2,20805,10402,High Value
1000838,Divyeshkumar,Male,53,51-55,Senior,Married,Hospitality,Gujarat,Western,P00363542,Footwear & Shoes,4,20796,5199,High Value
1000838,Divyeshkumar,Male,53,51-55,Senior,Married,Hospitality,Rajasthan,Northern,P00363542,Footwear & Shoes,2,20796,10398,High Value
1002060,Lynn,Male,15,0-17,Teen,Single,Healthcare,Bihar,Eastern,P00351042,Footwear & Shoes,4,20788,5197,High Value
1000850,Bhawna,Male,40,36-45,Mid Age,Married,IT Sector,Karnataka,Southern,P00324342,Footwear & Shoes,3,20783,6928,High Value
1005522,Mitch,Female,35,26-35,Adult,Married,Automobile,Delhi,Central,P00179742,Footwear & Shoes,1,20770,20770,High Value
1005153,Ivan,Female,33,26-35,Adult,Married,IT Sector,Karnataka,Southern,P00190242,Footwear & Shoes,4,20767,5192,High Value
1002122,Avila,Female,40,36-45,Mid Age,Single,Aviation,Karnataka,Southern,P00161442,Footwear & Shoes,1,20767,20767,High Value
1000984,Ben,Female,52,51-55,Senior,Single,IT Sector,Madhya Pradesh,Central,P00248142,Tupperware,2,20757,10378,High Value
1005220,Amlan,Female,27,26-35,Adult,Married,Aviation,Delhi,Central,P00209842,Footwear & Shoes,2,20752,10376,High Value
1001202,Diwakar,Female,45,36-45,Mid Age,Single,IT Sector,Delhi,Central,P00205442,Footwear & Shoes,2,20752,10376,High Value
1006014,Sharelle,Female,48,46-50,Senior,Single,Aviation,Karnataka,Southern,P00183142,Footwear & Shoes,4,20751,5188,High Value
1005111,Amisha,Female,38,36-45,Mid Age,Single,Media,Uttar Pradesh,Central,P00177842,Footwear & Shoes,4,20751,5188,High Value
1004227,William,Female,33,26-35,Adult,Married,IT Sector,Karnataka,Southern,P00059242,Footwear & Shoes,3,20745,6915,High Value
1001331,Foulston,Female,47,46-50,Senior,Married,Banking,Uttar Pradesh,Central,P00248942,Footwear & Shoes,4,20745,5186,High Value
1004937,Ferrer,Female,40,36-45,Mid Age,Married,Media,Uttar Pradesh,Central,P00112842,Footwear & Shoes,2,20744,10372,High Value
1005600,Muskan,Male,47,46-50,Senior,Single,Automobile,Haryana,Northern,P00085242,Tupperware,1,20739,20739,High Value
1000791,Stuart,Male,44,36-45,Mid Age,Married,IT Sector,Karnataka,Southern,P00127842,Footwear & Shoes,2,20739,10370,High Value
1003888,Beth,Female,46,46-50,Senior,Single,Aviation,Madhya Pradesh,Central,P00242742,Footwear & Shoes,2,20729,10364,High Value
1006016,Sauptik,Female,50,46-50,Senior,Single,Aviation,Delhi,Central,P00183742,Footwear & Shoes,4,20714,5178,High Value
1000604,Pistek,Female,49,46-50,Senior,Single,Healthcare,Karnataka,Southern,P00304642,Footwear & Shoes,4,20712,5178,High Value
1000173,Muhammed,Female,29,26-35,Adult,Married,Banking,Uttar Pradesh,Central,P00057642,Tupperware,1,20707,20707,High Value
1004284,Piyam,Female,53,51-55,Senior,Single,Healthcare,Karnataka,Southern,P00032042,Footwear & Shoes,1,20705,20705,High Value
1002994,Hemant,Female,42,36-45,Mid Age,Single,IT Sector,Madhya Pradesh,Central,P00000142,Footwear & Shoes,2,20691,10346,High Value
1004016,Dowd,Male,51,51-55,Senior,Married,Aviation,Uttar Pradesh,Central,P00123842,Furniture,3,20689,6896,High Value
1005788,Bixby,Female,26,26-35,Adult,Married,Banking,Karnataka,Southern,P00130642,Footwear & Shoes,2,20688,10344,High Value
1001184,Brandow,Male,30,26-35,Adult,Single,Media,Maharashtra,Western,P00146342,Footwear & Shoes,4,20678,5170,High Value
1000053,Howell,Female,33,26-35,Adult,Married,Aviation,Karnataka,Southern,P00120442,Footwear & Shoes,4,20677,5169,High Value
1002511,Ananya,Male,34,26-35,Adult,Single,Chemical,Kerala,Southern,P00148642,Furniture,1,20677,20677,High Value
1004377,Sibella,Male,26,26-35,Adult,Single,Retail,Karnataka,Southern,P00298942,Footwear & Shoes,3,20676,6892,High Value
1005481,Wale,Female,46,46-50,Senior,Single,Govt,Maharashtra,Western,P00277642,Furniture,1,20673,20673,High Value
1003940,Kritika,Female,36,36-45,Mid Age,Married,Automobile,Karnataka,Southern,P00159442,Footwear & Shoes,1,20669,20669,High Value
1000687,Neola,Male,26,26-35,Adult,Single,Chemical,Delhi,Central,P00344542,Tupperware,4,20668,5167,High Value
1000889,Parth,Female,50,46-50,Senior,Married,Lawyer,Delhi,Central,P00021842,Footwear & Shoes,1,20668,20668,High Value
1000167,Brooke,Male,32,26-35,Adult,Single,Food Processing,Maharashtra,Western,P00322142,Furniture,2,20666,10333,High Value
1004972,Barcio,Female,38,36-45,Mid Age,Single,Banking,Karnataka,Southern,P00249542,Footwear & Shoes,3,20665,6888,High Value
1003094,Pelletier,Female,41,36-45,Mid Age,Married,Retail,Karnataka,Southern,P00223642,Footwear & Shoes,1,20664,20664,High Value
1000157,Michelle,Female,43,36-45,Mid Age,Single,Automobile,Karnataka,Southern,P00117842,Footwear & Shoes,3,20661,6887,High Value
1001015,Bharat,Male,40,36-45,Mid Age,Single,Food Processing,Delhi,Central,P00109842,Footwear & Shoes,3,20660,6887,High Value
1003468,Divyansh,Female,26,26-35,Adult,Married,IT Sector,Delhi,Central,P00059442,Footwear & Shoes,2,20659,10330,High Value
1002251,Raglin,Female,36,36-45,Mid Age,Married,Media,Delhi,Central,P00337442,Footwear & Shoes,1,20659,20659,High Value
1005014,Kajal,Female,50,46-50,Senior,Single,IT Sector,Karnataka,Southern,P00122442,Tupperware,1,20659,20659,High Value
1003085,Natalie,Female,32,26-35,Adult,Single,IT Sector,Delhi,Central,P00267542,Footwear & Shoes,4,20657,5164,High Value
1004112,Mrunal,Female,47,46-50,Senior,Married,Hospitality,Delhi,Central,P00190242,Footwear & Shoes,3,20654,6885,High Value
1002592,Nikita,Female,51,51-55,Senior,Single,Media,Maharashtra,Western,P00356842,Tupperware,2,20644,10322,High Value
1001298,Siddharth,Female,36,36-45,Mid Age,Single,Construction,Uttar Pradesh,Central,P00349142,Footwear & Shoes,1,20642,20642,High Value
1002537,Cindy,Male,42,36-45,Mid Age,Married,IT Sector,Uttar Pradesh,Central,P00359242,Footwear & Shoes,4,20641,5160,High Value
1000971,Savi,Female,32,26-35,Adult,Married,Retail,Uttar Pradesh,Central,P00016542,Footwear & Shoes,1,20628,20628,High Value
1001103,Yaanvi,Male,48,46-50,Senior,Single,IT Sector,Delhi,Central,P00334242,Tupperware,1,20627,20627,High Value
1003081,Kalyani,Female,32,26-35,Adult,Single,Food Processing,Uttarakhand,Central,P00218642,Furniture,1,20623,20623,High Value
1002164,McCrossin,Male,41,36-45,Mid Age,Single,Banking,Himachal Pradesh,Northern,P00110942,Furniture,4,20622,5156,High Value
1003635,Calhoun,Female,54,51-55,Senior,Single,Retail,Delhi,Central,P00273042,Footwear & Shoes,4,20620,5155,High Value
1001030,Selesnick,Female,33,26-35,Adult,Single,Chemical,Karnataka,Southern,P00162442,Footwear & Shoes,4,20619,5155,High Value
1001029,Parakh,Female,30,26-35,Adult,Single,Lawyer,Karnataka,Southern,P00317842,Footwear & Shoes,3,20615,6872,High Value
1003311,Neola,Female,29,26-35,Adult,Single,IT Sector,Delhi,Central,P00180442,Footwear & Shoes,3,20608,6869,High Value
1003416,Vaibhavi,Female,27,26-35,Adult,Married,Media,Uttarakhand,Central,P00100642,Furniture,4,20608,5152,High Value
1004573,Cari,Male,51,51-55,Senior,Married,Aviation,Haryana,Northern,P00071442,Furniture,4,20607,5152,High Value
1004179,Sink,Male,43,36-45,Mid Age,Married,Textile,Karnataka,Southern,P00100842,Furniture,1,20607,20607,High Value
1005661,Geld,Male,31,26-35,Adult,Single,Healthcare,Maharashtra,Western,P00148042,Tupperware,1,20606,20606,High Value
1001736,Martinez,Male,72,55+,Elder,Married,Textile,Uttar Pradesh,Central,P00227942,Footwear & Shoes,2,20603,10302,High Value
1003401,Ameesha,Female,39,36-45,Mid Age,Single,IT Sector,Maharashtra,Western,P00120342,Footwear & Shoes,2,20602,10301,High Value
1001835,Jamie,Female,31,26-35,Adult,Single,Aviation,Karnataka,Southern,P00180642,Footwear & Shoes,4,20600,5150,High Value
1002899,McCarthy,Male,42,36-45,Mid Age,Married,Automobile,Karnataka,Southern,P00193642,Footwear & Shoes,1,20600,20600,High Value
1002860,Chad,Female,40,36-45,Mid Age,Single,IT Sector,Delhi,Central,P00033942,Footwear & Shoes,1,20598,20598,High Value
1004362,Prichep,Female,26,26-35,Adult,Married,Chemical,Karnataka,Southern,P00015742,Footwear & Shoes,3,20598,6866,High Value
1001147,Lanier,Female,27,26-35,Adult,Single,IT Sector,Kerala,Southern,P00296642,Tupperware,3,20598,6866,High Value
1004953,Sukrith,Female,39,36-45,Mid Age,Single,Healthcare,Kerala,Southern,P00015542,Furniture,3,20595,6865,High Value
1005884,Elliston,Female,25,18-25,Youth,Married,Banking,Kerala,Southern,P00112542,Furniture,2,20594,10297,High Value
1002765,Bergman,Female,55,51-55,Senior,Single,Aviation,Madhya Pradesh,Central,P00127942,Footwear & Shoes,2,20589,10294,High Value
1005140,Arthur,Female,29,26-35,Adult,Single,Healthcare,Delhi,Central,P00157642,Footwear & Shoes,1,20588,20588,High Value
1004161,Murray,Female,50,46-50,Senior,Married,Banking,Uttar Pradesh,Central,P00265242,Furniture,1,20588,20588,High Value
1003697,Toch,Female,30,26-35,Adult,Single,Banking,Delhi,Central,P00250342,Footwear & Shoes,4,20586,5146,High Value
1002041,Dahlen,Male,31,26-35,Adult,Married,Banking,Madhya Pradesh,Central,P00115142,Furniture,3,20586,6862,High Value
1003726,Randy,Female,34,26-35,Adult,Married,Lawyer,Karnataka,Southern,P00274042,Footwear & Shoes,2,20581,10290,High Value
1001803,Pradeep,Female,33,26-35,Adult,Married,Chemical,Maharashtra,Western,P00249642,Footwear & Shoes,2,20579,10290,High Value
1005814,Aayushi,Male,30,26-35,Adult,Married,IT Sector,Karnataka,Southern,P00113442,Furniture,4,20573,5143,High Value
1004901,Aparajita,Female,29,26-35,Adult,Single,Banking,Delhi,Central,P00120242,Footwear & Shoes,4,20572,5143,High Value
1003958,Arsheen,Female,49,46-50,Senior,Single,Healthcare,Karnataka,Southern,P0096942,Footwear & Shoes,3,20570,6857,High Value
1003563,Becky,Female,34,26-35,Adult,Single,Healthcare,Kerala,Southern,P00249842,Furniture,4,20570,5142,High Value
